file_id,display,genres
10_Years_(band),10 Years (band),"alternative metal, progressive metal, post-grunge, metal"
10cc,10cc,"art rock, art pop, progressive pop, soft rock, pop rock"
311_(band),311 (band),"alternative rock, rap rock, reggae rock, funk rock, funk metal"
38_Special_(band),38 Special (band),"hard rock, southern rock, boogie rock, blues rock"
3_Doors_Down,3 Doors Down,"post-grunge, alternative rock"
A_Perfect_Circle,A Perfect Circle,"alternative rock, alternative metal, hard rock, art rock"
ABBA,ABBA,"pop, disco, pop rock, europop"
AC_DC,AC/DC,"hard rock, blues rock, rock and roll, heavy metal"
Accept_(band),Accept (band),heavy metal
Adam_Ant,Adam Ant,"new wave, post-punk, alternative rock, dance-rock"
Aerosmith,Aerosmith,"hard rock, blues rock, heavy metal"
AFI_(band),AFI (band),"punk rock, gothic rock, horror punk, post-hardcore, emo, hardcore punk"
Air_Supply,Air Supply,"soft rock, pop rock, pop"
Alanis_Morissette,Alanis Morissette,"alternative rock, electronica, trip hop, indie pop, pop rock"
Alice_Cooper,Alice Cooper,"hard rock, shock rock, glam rock, heavy metal"
Alice_Cooper_(band),Alice Cooper (band),"hard rock, glam rock, shock rock, psychedelic rock"
Alice_in_Chains,Alice in Chains,"grunge, alternative metal, heavy metal, alternative rock, sludge metal"
Alter_Bridge,Alter Bridge,"hard rock, heavy metal, alternative metal, progressive metal, alternative rock, post-grunge"
Ambrosia_(band),Ambrosia (band),"progressive rock, soft rock, jazz fusion, blue-eyed soul"
America_(band),America (band),"soft rock, folk rock, pop rock, country rock"
Anthrax_(American_band),Anthrax (American band),"thrash metal, speed metal, groove metal, alternative metal"
April_Wine,April Wine,hard rock
Arcade_Fire,Arcade Fire,"indie rock, art rock, dance-rock, baroque pop"
Arctic_Monkeys,Arctic Monkeys,"indie rock, garage rock, post-punk revival, psychedelic rock, lounge pop"
Asia_(band),Asia (band),"progressive rock, aor, pop rock"
Audioslave,Audioslave,"hard rock, alternative metal, post-grunge, alternative rock"
Avenged_Sevenfold,Avenged Sevenfold,"heavy metal, progressive metal, alternative metal, hard rock, metalcore"
Avril_Lavigne,Avril Lavigne,"pop-punk, alternative rock, pop rock, pop"
Awolnation,Awolnation,"alternative rock, electronic rock, indie rock, electropop, pop rock, dance-rock"
Bachman_Turner_Overdrive,Bachman–Turner Overdrive,"rock, hard rock, boogie rock"
Bad_Company,Bad Company,"hard rock, blues rock"
Badfinger,Badfinger,"rock, power pop"
Barenaked_Ladies,Barenaked Ladies,"alternative pop, folk rock, pop rock, comedy rock"
Bay_City_Rollers,Bay City Rollers,"pop, glam rock, pop rock"
Beastie_Boys,Beastie Boys,"hip-hop, rap rock, alternative hip-hop, hardcore punk"
Beck,Beck,"alternative rock, folk rock, psychedelia, electronic, alt-country, lo-fi"
Bee_Gees,Bee Gees,"disco, pop, soul, rock, soft rock"
Ben_Folds_Five,Ben Folds Five,"alternative rock, power pop"
Bill_Haley_&_His_Comets,Bill Haley & His Comets,"rock and roll, rockabilly, western swing"
Billy_Idol,Billy Idol,"new wave, hard rock, pop rock, punk rock"
Billy_Joel,Billy Joel,"rock, soft rock, pop rock"
Billy_Squier,Billy Squier,"hard rock, arena rock, pop rock, power pop"
Billy_Talent,Billy Talent,"punk rock, alternative rock, post-hardcore, pop-punk"
Black_Sabbath,Black Sabbath,heavy metal
Black_Stone_Cherry,Black Stone Cherry,"hard rock, southern rock"
Black_Veil_Brides,Black Veil Brides,"hard rock, alternative metal, glam metal, gothic metal, metalcore"
Blink-182,Blink-182,"pop-punk, punk rock, skate punk, alternative rock"
Blondie_(band),Blondie (band),"new wave, punk rock, pop rock, pop, disco"
Bloodhound_Gang,Bloodhound Gang,"alternative rock, rap rock, pop-punk, new wave"
Blue__yster_Cult,Blue Öyster Cult,"hard rock, heavy metal, occult rock, psychedelic rock, progressive rock, acid rock"
